query,position,result_url,domain,is_sfl
auto transport companies,5,https://roadrunnerautotransport.com/florida/miami-car-shipping,roadrunnerautotransport.com,False
auto transport companies,6,https://sherpaautotransport.com/,sherpaautotransport.com,False
auto transport companies,7,https://sherpaautotransport.com/routes/california-car-shipping/merced/,sherpaautotransport.com,False
auto transport companies,8,https://roadrunnerautotransport.com/florida/sebring-car-shipping,roadrunnerautotransport.com,False
auto transport companies,9,https://yelp.com/search?y,yelp.com,False
us shipping address for international shoppers package forwarding,1,https://en.wikipedia.org/wiki/Package_forwarding,en.wikipedia.org,False
us shipping address for international shoppers package forwarding,2,https://forward2me.com/warehouses/united-states/,forward2me.com,False
us shipping address for international shoppers package forwarding,3,https://forwardme.com/blog/free-us-address,forwardme.com,False
us shipping address for international shoppers package forwarding,4,https://forwardme.com/,forwardme.com,False
us shipping address for international shoppers package forwarding,5,https://opas.com/,opas.com,False
us shipping address for international shoppers package forwarding,6,https://shiptobox.com/blog/us-package-forwarding-explained/,shiptobox.com,False
us shipping address for international shoppers package forwarding,7,https://amforward.com/,amforward.com,False
us shipping address for international shoppers package forwarding,8,https://parcelux.com/us-address/,parcelux.com,False
us shipping address for international shoppers package forwarding,9,https://postfromus.com/,postfromus.com,False
usa to india shipping cost per kg,1,https://reship.com/blog/shipping-to-india-from-the-us-2024,reship.com,False
usa to india shipping cost per kg,2,https://qwintry.com/en/calculator/in,qwintry.com,False
usa to india shipping cost per kg,3,https://us.meest.com/services/service/delivery-to-india,us.meest.com,False
usa to india shipping cost per kg,4,https://sflworldwide.com/blog/usa-to-india-shipping-cost-per-kg,sflworldwide.com,True
usa to india shipping cost per kg,5,https://tiktok.com/discover/(path not recorded),tiktok.com,False
usa to india shipping cost per kg,6,https://dhl.com/us-en/home/ship/shipping-to-india.html,dhl.com,False
usa to india shipping cost per kg,7,https://garudavega.com/international-courier-service-rates,garudavega.com,False
usa to india shipping cost per kg,8,https://freightos.com/shipping-routes/shipping-from-india-to-the-united-states/,freightos.com,False
usa to india shipping cost per kg,9,https://m.indiamart.com/srompl/srompl-services3.html,m.indiamart.com,False
items not allowed to ship to india from usa,1,https://careinsurance.com/travel-insurance/food-items-usa-india,careinsurance.com,False
items not allowed to ship to india from usa,2,https://sociallifemagazine.com/the-archive/what-is-allowed-and-not-allowed-in-a-parcel-to-india-from-the-usa/,sociallifemagazine.com,False
items not allowed to ship to india from usa,3,https://ship.shoppre.com/prohibited-items-what-you-cannot-ship-internationally-from-india/,ship.shoppre.com,False
items not allowed to ship to india from usa,4,https://indianeagle.com/traveldiary/essential-rules-to-carry-food-and-snacks-from-usa-to-india/,indianeagle.com,False
items not allowed to ship to india from usa,5,https://sflworldwide.com/blog/what-items-are-not-allowed-to-ship-to-india-from-the-usa,sflworldwide.com,True
items not allowed to ship to india from usa,6,https://indianeagle.com/traveldiary/essential-rules-to-carry-electronics-from-usa-to-india/,indianeagle.com,False
items not allowed to ship to india from usa,7,https://tripbeam.com/blog/(path not recorded),tripbeam.com,False
items not allowed to ship to india from usa,8,https://universalrelocations.com/products-you-cant-ship-from-usa-to-india/,universalrelocations.com,False
items not allowed to ship to india from usa,9,https://gulfnews.com/(path not recorded),gulfnews.com,False
container shipping cost usa to india,1,https://gocomet.com/blog/shipping-cost-from-usa-to-india/,gocomet.com,False
container shipping cost usa to india,2,https://shapiro.com/shipping-rate-trends/india-to-us/,shapiro.com,False
container shipping cost usa to india,3,https://globy.com/container-shipping-cost/from-india-to-usa,globy.com,False
container shipping cost usa to india,4,https://icontainers.com/ship-container/india/,icontainers.com,False
container shipping cost usa to india,5,https://shipnex.com/ocean-freight/india,shipnex.com,False
container shipping cost usa to india,6,https://freightify.com/ship-containers/india,freightify.com,False
container shipping cost usa to india,7,https://universalrelocations.com/save-big-on-usa-to-india-container-shipping-cost/,universalrelocations.com,False
container shipping cost usa to india,8,https://spglobal.com/(path not recorded),spglobal.com,False
container shipping cost usa to india,9,https://spglobal.com/(path not recorded),spglobal.com,False
how to ship electronics from usa to india customs duty,1,https://goworkwize.com/blog/how-to-ship-laptops-from-the-usa-to-india,goworkwize.com,False
how to ship electronics from usa to india customs duty,2,https://us.meest.com/news/how-to-send-electronics-from-usa-to-india,us.meest.com,False
how to ship electronics from usa to india customs duty,3,https://indianeagle.com/traveldiary/essential-rules-to-carry-electronics-from-usa-to-india/,indianeagle.com,False
how to ship electronics from usa to india customs duty,4,https://indianeagle.com/travelbeats/indian-customs-rules-for-electronic-items-from-usa-to-india/,indianeagle.com,False
how to ship electronics from usa to india customs duty,5,https://quora.com/What-is-the-best-way-to-get-electronics-shipped-from-the-US-to-India,quora.com,False
how to ship electronics from usa to india customs duty,6,https://jioworldwide.com/blog/ship-electronics-from-usa-to-india/,jioworldwide.com,False
how to ship electronics from usa to india customs duty,7,https://jioworldwide.com/worldwide-moving/electronics-shipping-to-india/,jioworldwide.com,False
how to ship electronics from usa to india customs duty,8,https://fgx.com/blog/how-to-ship-electronics-from-usa-to-india,fgx.com,False
how to ship electronics from usa to india customs duty,9,https://universalrelocations.com/customs-rules-for-electronics-shipping-to-india/,universalrelocations.com,False
shipping boxes to india from usa,1,https://sevenseasworldwide.com/en-us/shipping/shipping-to-destinations/india/,sevenseasworldwide.com,False
shipping boxes to india from usa,2,https://dhl.com/us-en/home/ship/shipping-to-india.html,dhl.com,False
shipping boxes to india from usa,3,https://sflworldwide.com/worldwide-destinations/shipping-to-india/shipping-boxes-to-india,sflworldwide.com,True
shipping boxes to india from usa,4,https://quora.com/What-is-the-best-way-to-ship-items-to-India-from-the-USA-mostly-boxes-as-I-am-moving-for-good,quora.com,False
shipping boxes to india from usa,5,https://oceanfreightusa.com/Shipping-boxes-from-USA-to-India.aspx,oceanfreightusa.com,False
shipping boxes to india from usa,6,https://jioworldwide.com/blog/shipping-boxes-to-india-from-usa/,jioworldwide.com,False
shipping boxes to india from usa,7,https://jioworldwide.com/worldwide-destination/boxes-shipping-to-india/,jioworldwide.com,False
shipping boxes to india from usa,8,https://universalrelocations.com/shipping-boxes-to-india/,universalrelocations.com,False
shipping boxes to india from usa,9,https://community.shopify.com/t/(path not recorded),community.shopify.com,False
discounted international shipping rates fedex dhl ups,1,https://easyship.com/discounted-rates,easyship.com,False
discounted international shipping rates fedex dhl ups,2,https://goshippo.com/blog/ups-vs-fedex-vs-dhl-vs-usps-international-shipping-rates-comparison,goshippo.com,False
discounted international shipping rates fedex dhl ups,3,https://lateshipment.com/blog/dhl-vs-fedex-vs-ups/,lateshipment.com,False
discounted international shipping rates fedex dhl ups,4,https://easyship.com/blog/dhl-vs-fedex,easyship.com,False
discounted international shipping rates fedex dhl ups,5,https://stamps.com/compare-rates/cheapest-shipping-rates/,stamps.com,False
discounted international shipping rates fedex dhl ups,6,https://calcurates.com/(path not recorded),calcurates.com,False
discounted international shipping rates fedex dhl ups,7,https://shipstation.com/blog/ups-fedex-and-usps-shipping-discounts/,shipstation.com,False
discounted international shipping rates fedex dhl ups,8,https://fedex.com/en-us/shipping/international/understanding-international-shipping-cost.html,fedex.com,False
discounted international shipping rates fedex dhl ups,9,https://shippingcostcalculator.com/,shippingcostcalculator.com,False
international shipping company usa,1,https://en.wikipedia.org/wiki/International_Freighting_Corporation,en.wikipedia.org,False
international shipping company usa,2,https://en.wikipedia.org/wiki/International_Navigation_Company,en.wikipedia.org,False
international shipping company usa,3,https://us.meest.com/,us.meest.com,False
international shipping company usa,4,https://dhl.com/us-en/home.html,dhl.com,False
international shipping company usa,5,https://easyship.com/blog/most-popular-international-shipping-services,easyship.com,False
international shipping company usa,6,https://shipglobal.us/,shipglobal.us,False
international shipping company usa,7,https://goodfirms.co/(path not recorded),goodfirms.co,False
international shipping company usa,8,https://internationalshippingusa.com/Home.aspx,internationalshippingusa.com,False
international shipping company usa,9,https://international-shipping-services.net/,international-shipping-services.net,False
international shipping company usa,10,https://morganshipping.com/,morganshipping.com,False
shipping to philippines from usa balikbayan box,1,https://lbcexpress.com/us/shipping-services,lbcexpress.com,False
shipping to philippines from usa balikbayan box,2,https://facebook.com/groups/(path not recorded),facebook.com,False
shipping to philippines from usa balikbayan box,3,https://smileswallet.com/(path not recorded),smileswallet.com,False
shipping to philippines from usa balikbayan box,4,https://manilaforwarder.com/balikbayan-box-shipment.html,manilaforwarder.com,False
shipping to philippines from usa balikbayan box,5,https://johnnyair.com/blog/(path not recorded),johnnyair.com,False
shipping to philippines from usa balikbayan box,6,https://pinoyboxdelivery.com/shipping-from-united-states-to-philippines,pinoyboxdelivery.com,False
shipping to philippines from usa balikbayan box,7,https://logocargo.com/,logocargo.com,False
shipping to philippines from usa balikbayan box,8,https://bayanihancargo.com/,bayanihancargo.com,False
shipping to philippines from usa balikbayan box,9,https://stripe.jhu.edu/(path not recorded),stripe.jhu.edu,False
shipping car to ghana from usa,1,https://wcshipping.com/ghana,wcshipping.com,False
shipping car to ghana from usa,2,https://wcshipping.com/blog/importing-to-ghana,wcshipping.com,False
shipping car to ghana from usa,3,https://auto4export.com/blog/(path not recorded),auto4export.com,False
shipping car to ghana from usa,4,https://shipoverseas.com/shipping-car-to-ghana/,shipoverseas.com,False
shipping car to ghana from usa,5,https://aesshipping.com/shipping-your-car-to-ghana-from-the-usa/,aesshipping.com,False
shipping car to ghana from usa,6,https://aesshipping.com/roro-shipping-from-usa-to-ghana/,aesshipping.com,False
shipping car to ghana from usa,7,https://shipnex.com/car-shipping-to-ghana/,shipnex.com,False
shipping car to ghana from usa,8,https://a1autotransport.com/ship-car-to-ghana/,a1autotransport.com,False
shipping car to ghana from usa,9,https://brlogistics.net/us/ship-car/to-ghana/,brlogistics.net,False
moving from new york to texas cost,1,https://movebuddha.com/popular-routes/ny/tx/,movebuddha.com,False
moving from new york to texas cost,2,https://allied.com/moving-companies/new-york/moving-to/texas,allied.com,False
moving from new york to texas cost,3,https://movebuddha.com/popular-routes/ny/tx/new-york-city-to-tx/,movebuddha.com,False
moving from new york to texas cost,4,https://gotrhythm.com/(path not recorded),gotrhythm.com,False
moving from new york to texas cost,5,https://northamerican.com/(path not recorded),northamerican.com,False
moving from new york to texas cost,6,https://moveadvisor.com/usa/routes/new-york-to-dallas-movers,moveadvisor.com,False
moving from new york to texas cost,7,https://colonialvanlines.com/blog/moving-from-new-york-to-texas/,colonialvanlines.com,False
moving from new york to texas cost,8,https://moveadvisor.com/usa/routes/moving-from-new-york-to-houston,moveadvisor.com,False
moving from new york to texas cost,9,https://axios.com/(path not recorded),axios.com,False
shipping food items from india to usa allowed,1,https://careinsurance.com/(path not recorded),careinsurance.com,False
shipping food items from india to usa allowed,2,https://zolve.com/(path not recorded),zolve.com,False
shipping food items from india to usa allowed,3,https://sdcinternationalshipping.com/(path not recorded),sdcinternationalshipping.com,False
shipping food items from india to usa allowed,4,https://indianeagle.com/(path not recorded),indianeagle.com,False
shipping food items from india to usa allowed,5,https://sflworldwide.com/en-in/faq/faqs-about-food-courier-service-from-india-to-usa,sflworldwide.com,True
shipping food items from india to usa allowed,6,https://shipglobal.in/blogs/ship-food-products-from-india-to-usa/,shipglobal.in,False
shipping food items from india to usa allowed,7,https://indianeagle.com/(path not recorded),indianeagle.com,False
shipping food items from india to usa allowed,8,https://desify.in/(path not recorded),desify.in,False
shipping food items from india to usa allowed,9,https://globalindiaexpress.com/(path not recorded),globalindiaexpress.com,False
dimensional weight calculator international shipping,1,https://inchcalculator.com/(path not recorded),inchcalculator.com,False
dimensional weight calculator international shipping,2,https://coleintl.com/(path not recorded),coleintl.com,False
dimensional weight calculator international shipping,3,https://amzprep.com/(path not recorded),amzprep.com,False
dimensional weight calculator international shipping,4,https://shippingeasy.com/(path not recorded),shippingeasy.com,False
dimensional weight calculator international shipping,5,https://omnicalculator.com/(path not recorded),omnicalculator.com,False
dimensional weight calculator international shipping,6,https://page.message.fedex.com/(path not recorded),page.message.fedex.com,False
dimensional weight calculator international shipping,7,https://en.wikipedia.org/wiki/Dimensional_weight,en.wikipedia.org,False
dimensional weight calculator international shipping,8,https://bgiworldwide.com/(path not recorded),bgiworldwide.com,False
dimensional weight calculator international shipping,9,https://shipcorefulfillment.com/(path not recorded),shipcorefulfillment.com,False
dimensional weight calculator international shipping,10,https://pegasuslogistics.com/(path not recorded),pegasuslogistics.com,False
shipping to mexico from usa cheap,1,https://easyship.com/blog/cheapest-way-to-ship-to-mexico,easyship.com,False
